crop,family,season_class,perishability
Strawberry,Berry,cool,high
Blueberry,Berry,cool,high
Blackberry,Berry,cool,high
Watermelon,Cucurbit,warm,medium
Cucumber,Cucurbit,warm,high
Zucchini,Cucurbit,warm,high
Pumpkin,Cucurbit,warm,low
Chayote,Cucurbit,warm,medium
Tomato,Nightshade,warm,high
Eggplant,Nightshade,warm,high
Bell Pepper,Nightshade,warm,high
Potato,Nightshade,cool,low
Sweet Potato,Convolvulaceae,warm,low
Cabbage,Brassica,cool,medium
Cauliflower,Brassica,cool,medium
Spinach,Amaranth,cool,high
Lettuce,Asteraceae,cool,high
Celery,Apiaceae,cool,high
Coriander,Apiaceae,cool,high
Parsley,Apiaceae,cool,high
Carrot,Apiaceae,cool,medium
Rosemary,Lamiaceae,year_round,low
Basil,Lamiaceae,warm,high
Onion,Allium,cool,low
Garlic,Allium,cool,low
Avocado,Lauraceae,year_round,high
Guava,Myrtaceae,warm,high
Papaya,Caricaceae,year_round,high
Pineapple,Bromeliaceae,year_round,medium
Banana,Musaceae,year_round,high
Carambola,Oxalidaceae,warm,high
Coconut,Arecaceae,year_round,low
Mango,Anacardiaceae,warm,high
Lemon,Citrus,year_round,medium
Lime,Citrus,year_round,medium
Grapefruit,Citrus,cool,medium
Citrus Fruit,Citrus,cool,medium
Grape,Vitaceae,warm,high
Peach,Rosaceae,warm,high
Plum,Rosaceae,warm,high
Peanut,Legume,warm,low
Pecan,Juglandaceae,warm,low
Walnut,Juglandaceae,year_round,low
Chestnut,Fagaceae,cool,low
Okra,Malvaceae,warm,high
Sugarcane,Poaceae,warm,low
Corn,Poaceae,warm,high
